entry_id,verify,trace_index,file,line,line_start,line_end,duplicate,anomaly,certainty,file_group,comparison,vs_entry,vs_critical,code_preview
entry-00061,1,2,packages/ui/src/views/account/index.jsx,198,198,198,no,before_entry,clear,both,strictly_before,strictly_before,strictly_before,const saveProfileData = async () => {
entry-00061,1,3,packages/ui/src/views/account/index.jsx,200-206,200,206,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,"            const obj = {
                id: currentUser.id,
                name: profileName,
   "
entry-00061,1,4,packages/ui/src/views/account/index.jsx,205,205,205,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,const saveProfileResp = await userApi.updateUser(obj)
entry-00062,1,0,backend/open_webui/routers/retrieval.py,1778,1778,1778,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"    request: Request, form_data: ProcessUrlForm, user=Depends(get_verified_user)"
entry-00062,1,1,backend/open_webui/routers/retrieval.py,1785,1785,1785,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,"        content, docs = get_content_from_url(request, form_data.url)"
entry-00062,1,2,backend/open_webui/retrieval/utils.py,78-82,78,82,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"def get_content_from_url(request, url: str) -> str:
    loader = get_loader(request, url)
    docs ="
entry-00062,1,3,backend/open_webui/retrieval/utils.py,62-71,62,71,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"def get_loader(request, url: str):
    if is_youtube_url(url):
        return YoutubeLoader(
       "
entry-00062,1,4,backend/open_webui/retrieval/web/utils.py,636-643,636,643,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"def get_web_loader(
    urls: Union[str, Sequence[str]],
    verify_ssl: bool = True,
    requests_p"
entry-00062,1,5,backend/open_webui/retrieval/web/utils.py,73-82,73,82,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"def safe_validate_urls(url: Sequence[str]) -> Sequence[str]:
    valid_urls = []
    for u in url:
 "
entry-00062,1,6,backend/open_webui/retrieval/web/utils.py,49-58,49,58,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"def validate_url(url: Union[str, Sequence[str]]):
    if isinstance(url, str):
        if isinstance"
entry-00062,1,7,backend/open_webui/retrieval/web/utils.py,556-563,556,563,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"                    async with session.get(
                        url,
                        **("
entry-00063,1,0,packages/server/src/enterprise/routes/account.route.ts,9,9,9,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"router.post('/register', accountController.register)"
entry-00063,1,1,packages/server/src/utils/constants.ts,34,34,34,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"    '/api/v1/account/register',"
entry-00063,1,2,packages/server/src/index.ts,196-198,196,198,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"                    const isWhitelisted = whitelistURLs.some((url) => req.path.startsWith(url))
    "
entry-00063,1,3,packages/server/src/enterprise/controllers/account.controller.ts,8-16,8,16,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"    public async register(req: Request, res: Response, next: NextFunction) {
        try {
         "
entry-00063,1,4,packages/server/src/enterprise/services/account.service.ts,268-270,268,270,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"    public async register(data: AccountDTO) {
        return await this.saveRegisterAccount(data)
  "
entry-00063,1,5,packages/server/src/enterprise/services/account.service.ts,231-237,231,237,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"    private async saveRegisterAccount(data: AccountDTO) {
        const queryRunner = this.dataSourc"
entry-00063,1,6,packages/server/src/enterprise/services/account.service.ts,112-119,112,119,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"        switch (platform) {
            case Platform.OPEN_SOURCE:
                data.organization"
entry-00064,1,0,packages/server/src/routes/index.ts,134,134,134,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"router.use('/account', accountRouter)"
entry-00064,1,1,packages/server/src/utils/constants.ts,6,6,6,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,export const WHITELIST_URLS = [
entry-00064,1,2,packages/server/src/index.ts,184,184,184,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,        const whitelistURLs = WHITELIST_URLS
entry-00064,1,3,packages/server/src/enterprise/routes/account.route.ts,7,7,7,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,const accountController = new AccountController()
entry-00064,1,4,packages/server/src/enterprise/services/account.service.ts,168-169,168,169,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"            case Platform.ENTERPRISE: {
                if (data.user.tempToken) {"
entry-00064,1,5,packages/server/src/enterprise/services/account.service.ts,203,203,203,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"                    data.user = await this.userService.createNewUser(data.user, queryRunner)"
entry-00064,1,6,packages/server/src/enterprise/services/account.service.ts,199-203,199,203,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,                    data.organizationUser.role = await this.roleService.readGeneralRoleByName(Genera
entry-00065,1,0,packages/ui/src/views/account/index.jsx,741,741,741,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,                                                id='newPassword'
entry-00065,1,1,packages/ui/src/views/account/index.jsx,241,241,241,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,const savePassword = async () => {
entry-00065,1,2,packages/ui/src/views/account/index.jsx,244,244,244,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,if (newPassword !== confirmPassword) {
entry-00065,1,3,packages/ui/src/views/account/index.jsx,268,268,268,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,const obj = {
entry-00065,1,4,packages/ui/src/views/account/index.jsx,272,272,272,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,const saveProfileResp = await userApi.updateUser(obj)
entry-00065,1,5,packages/ui/src/api/user.js,5,5,5,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"const updateUser = (body) => client.put(`/user`, body)"
entry-00065,1,6,packages/server/src/enterprise/controllers/user.controller.ts,52,52,52,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"public async update(req: Request, res: Response, next: NextFunction) {"
entry-00065,1,7,packages/server/src/enterprise/controllers/user.controller.ts,60,60,60,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,if (currentUser.id !== id) {
entry-00065,1,8,packages/server/src/enterprise/controllers/user.controller.ts,63,63,63,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,const user = await userService.updateUser(req.body)
entry-00065,1,9,packages/server/src/enterprise/services/user.service.ts,137,137,137,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,public async updateUser(newUserData: Partial<User> & { password?: string }) {
entry-00065,1,10,packages/server/src/enterprise/services/user.service.ts,161,161,161,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,if (newUserData.password) {
entry-00065,1,11,packages/server/src/enterprise/services/user.service.ts,164,164,164,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"                const hash = bcrypt.hashSync(newUserData.password, salt)"
entry-00066,1,0,libs/core/langchain_core/prompts/prompt.py,251,251,251,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,    @classmethod
entry-00066,1,1,libs/core/langchain_core/prompts/prompt.py,289,289,289,no,after_critical,clear,both,strictly_after,strictly_after,strictly_after,"        input_variables = get_template_variables(template, template_format)"
entry-00066,1,2,libs/core/langchain_core/prompts/string.py,266,266,266,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"    elif template_format == ""f-string"":"
entry-00066,1,3,libs/core/langchain_core/prompts/prompt.py,188,188,188,no,before_entry,clear,both,strictly_before,strictly_before,strictly_before,"    def format(self, **kwargs: Any) -> str:"
entry-00066,1,4,libs/core/langchain_core/utils/formatting.py,33,33,33,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"        return super().vformat(format_string, args, kwargs)"
entry-00066,1,5,libs/core/langchain_core/prompts/prompt.py,198,198,198,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,"        return DEFAULT_FORMATTER_MAPPING[self.template_format](self.template, **kwargs)"
entry-00067,1,0,libs/core/langchain_core/prompts/string.py,111,111,111,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"def mustache_formatter(template: str, /, **kwargs: Any) -> str:"
entry-00067,1,1,libs/core/langchain_core/prompts/string.py,121,121,121,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,"    return mustache.render(template, kwargs)"
entry-00067,1,2,libs/core/langchain_core/utils/mustache.py,482,482,482,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"        tokens = tokenize(template, def_ldel, def_rdel)"
entry-00067,1,3,libs/core/langchain_core/utils/mustache.py,513,513,513,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,            thing = _get_key(
entry-00067,1,4,libs/core/langchain_core/utils/mustache.py,371,371,371,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"            for child in key.split("".""):"
entry-00067,1,5,libs/core/langchain_core/utils/mustache.py,377,377,377,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,                try:
entry-00067,1,6,libs/core/langchain_core/utils/mustache.py,382,382,382,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"                        resolved_scope = getattr(resolved_scope, child)"
entry-00068,1,0,libs/core/langchain_core/prompts/string.py,32,32,32,no,none,ambiguous,both,"ep=overlapping,co=strictly_before",overlapping,strictly_before,"def jinja2_formatter(template: str, /, **kwargs: Any) -> str:"
entry-00068,1,1,libs/core/langchain_core/prompts/string.py,54,54,54,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,    if not _HAS_JINJA2:
entry-00068,1,2,libs/core/langchain_core/prompts/string.py,71,71,71,no,none,ambiguous,both,"ep=strictly_after,co=overlapping",strictly_after,overlapping,    return SandboxedEnvironment().from_string(template).render(**kwargs)
entry-00071,1,0,src/backend/base/langflow/api/v1/monitor.py,46,46,46,no,none,ambiguous,both,"ep=overlapping,co=strictly_before",overlapping,strictly_before,"@router.get(""/messages"", response_model=list[MessageResponse])"
entry-00071,1,1,src/backend/base/langflow/api/v1/monitor.py,47,47,47,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,async def get_messages(
entry-00071,1,2,src/backend/base/langflow/api/v1/monitor.py,56,56,56,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,        stmt = select(MessageTable)
entry-00071,1,3,src/backend/base/langflow/api/v1/monitor.py,68,68,68,no,none,ambiguous,both,"ep=strictly_after,co=overlapping",strictly_after,overlapping,        messages = session.exec(stmt)
entry-00072,1,0,src/backend/base/langflow/api/v1/monitor.py,169,169,169,no,none,ambiguous,both,"ep=overlapping,co=strictly_before",overlapping,strictly_before,"@router.get(""/transactions"", response_model=list[TransactionReadResponse])"
entry-00072,1,1,src/backend/base/langflow/api/v1/monitor.py,170,170,170,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,async def get_transactions(
entry-00072,1,2,src/backend/base/langflow/api/v1/monitor.py,175,175,175,no,none,ambiguous,both,"ep=strictly_after,co=overlapping",strictly_after,overlapping,"        transactions = get_transactions_by_flow_id(session, flow_id)"
entry-00073,1,0,src/backend/base/langflow/api/v1/monitor.py,151,151,151,no,none,ambiguous,both,"ep=overlapping,co=strictly_before",overlapping,strictly_before,"@router.delete(""/messages/session/{session_id}"", status_code=204)"
entry-00073,1,1,src/backend/base/langflow/api/v1/monitor.py,152,152,152,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,async def delete_messages_session(
entry-00073,1,2,src/backend/base/langflow/api/v1/monitor.py,153,153,153,no,none,ambiguous,both,"ep=strictly_after,co=strictly_before",strictly_after,strictly_before,"    session_id: str,"
entry-00073,1,3,src/backend/base/langflow/api/v1/monitor.py,157-161,157,161,no,none,ambiguous,both,"ep=strictly_after,co=overlapping",strictly_after,overlapping,"        session.exec(
            delete(MessageTable)
            .where(col(MessageTable.session_i"
entry-00074,1,0,server/routes.go,1503,1503,1503,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,"	r.POST(""/api/pull"", s.PullHandler)"
entry-00074,1,1,server/routes.go,848,848,848,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,func (s *Server) PullHandler(c *gin.Context) {
entry-00075,1,0,server/routes.go,1508,1508,1508,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,"	r.DELETE(""/api/delete"", s.DeleteHandler)"
entry-00075,1,1,server/routes.go,982-990,982,990,no,before_entry,clear,both,strictly_before,strictly_before,strictly_before,"func (s *Server) DeleteHandler(c *gin.Context) {
	var r api.DeleteRequest
	if err := c.ShouldBindJSO"
entry-00075,1,2,server/routes.go,1015-1023,1015,1023,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,"	if err := m.Remove(); err != nil {
		c.JSON(http.StatusInternalServerError, gin.H{""error"": err.Erro"
entry-00076,1,0,server/routes.go,1506,1506,1506,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,"	r.GET(""/api/tags"", s.ListHandler)"
entry-00076,1,1,server/routes.go,1217,1217,1217,no,before_entry,clear,both,strictly_before,strictly_before,strictly_before,func (s *Server) ListHandler(c *gin.Context) {
entry-00076,1,2,server/routes.go,1266,1266,1266,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,"	c.JSON(http.StatusOK, api.ListResponse{Models: models})"
entry-00077,1,0,server/routes.go,1517,1517,1517,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"	r.POST(""/api/create"", s.CreateHandler)"
entry-00077,1,1,server/create.go,44,44,44,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,func (s *Server) CreateHandler(c *gin.Context) {
entry-00078,1,0,server/routes.go,1524,1524,1524,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,"r.POST(""/api/generate"", s.GenerateHandler)"
entry-00078,1,1,server/routes.go,176,176,176,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,func (s *Server) GenerateHandler(c *gin.Context) {
entry-00079,1,0,server/routes.go,1504,1504,1504,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,"	r.POST(""/api/push"", s.PushHandler)"
entry-00079,1,1,server/routes.go,899,899,899,no,before_entry,clear,both,strictly_before,strictly_before,strictly_before,func (s *Server) PushHandler(c *gin.Context) {
entry-00079,1,2,server/routes.go,941,941,941,no,before_entry,ambiguous,both,strictly_before,strictly_before,overlapping,"		if err := PushModel(ctx, name.DisplayShortest(), regOpts, fn); err != nil {"
entry-00080,1,0,internal/handler/mcp_service.go,41,41,41,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,	if err := c.ShouldBindJSON(&service); err != nil {
entry-00080,1,1,internal/handler/mcp_service.go,325-334,325,334,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,"	result, err := h.mcpServiceService.TestMCPService(ctx, tenantID, serviceID)
	if err != nil {
		logg"
entry-00080,1,2,internal/application/service/mcp_service.go,246-251,246,251,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	// Create temporary client for testing
	config := &mcp.ClientConfig{
		Service: service,
	}

	clien"
entry-00080,1,3,internal/mcp/client.go,133,133,133,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"		mcpClient, err = client.NewStdioMCPClientWithOptions("
entry-00081,1,0,internal/handler/mcp_service.go,356,356,356,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,func (h *MCPServiceHandler) GetMCPServiceTools(c *gin.Context) {
entry-00081,1,1,internal/application/service/mcp_service.go,321-323,321,323,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	// Get or create client
	client, err := s.mcpManager.GetOrCreateClient(service)
	if err != nil {"
entry-00081,1,2,internal/mcp/manager.go,47-48,47,48,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	if service.TransportType == types.MCPTransportStdio {
		return m.createStdioClient(service)"
entry-00081,1,3,internal/mcp/client.go,120-128,120,128,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"	case types.MCPTransportStdio:
		if config.Service.StdioConfig == nil {
			return nil, fmt.Errorf(""s"
entry-00082,1,0,packages/workflow/src/expression.ts,6,6,6,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"import { evaluateExpression, setErrorHandler } from './expression-evaluator-proxy';"
entry-00082,1,1,packages/workflow/src/expression.ts,205,205,205,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,		}
entry-00082,1,2,packages/workflow/src/expression.ts,235,235,235,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,	resolveSimpleParameterValue(
entry-00082,1,3,packages/workflow/src/expression-evaluator-proxy.ts,19,19,19,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"export const evaluateExpression: Evaluator = (expr, data) => {"
entry-00082,1,4,packages/workflow/src/expression-evaluator-proxy.ts,13,13,13,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,const evaluator: Evaluator = tournamentEvaluator.execute.bind(tournamentEvaluator);
entry-00082,1,5,packages/workflow/src/expression-evaluator-proxy.ts,9,9,9,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"const tournamentEvaluator = new Tournament(errorHandler, undefined, undefined, {"
entry-00082,1,6,packages/workflow/src/expression-evaluator-proxy.ts,10,10,10,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"	before: [],"
entry-00083,1,0,packages/workflow/src/expression.ts,56,56,56,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,	static initializeGlobalContext(data: IDataObject) {
entry-00083,1,1,packages/workflow/src/expression-evaluator-proxy.ts,11,11,11,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	after: [PrototypeSanitizer, DollarSignValidator],"
entry-00083,1,2,packages/workflow/src/expression-sandboxing.ts,121,121,121,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"export const PrototypeSanitizer: ASTAfterHook = (ast, dataNode) => {"
entry-00083,1,3,packages/workflow/src/expression-sandboxing.ts,134,134,134,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,				if (!isSafeObjectProperty(node.property.name)) {
entry-00083,1,4,packages/workflow/src/utils.ts,339,339,339,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after, * setting untrusted properties can alter the object's prototype chain and introduce vulnerabilities
entry-00083,1,5,packages/workflow/src/utils.ts,332,332,332,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,	return value !== null && typeof value === 'object' && value.hasOwnProperty(key);
entry-00084,1,0,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,485,485,485,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,				if (hasHtmlContentType || !headers['content-type']) {
entry-00084,1,1,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,486,486,486,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,					responseBody = sandboxHtmlResponse(rawBody);
entry-00084,1,2,packages/core/src/html-sandbox.ts,47,47,47,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	const escapedHtml = text.replaceAll('&', '&amp;').replaceAll('""', '&quot;');"
entry-00084,1,3,packages/core/src/html-sandbox.ts,50,50,50,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"			style=""position:fixed; top:0; left:0; width:100vw; height:100vh; border:none; overflow:auto;"""
entry-00084,1,4,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,576,576,576,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,			response = {
entry-00084,1,5,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,583,583,583,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,				this.sendResponse(response);
entry-00084,1,6,packages/cli/src/webhooks/webhook-request-handler.ts,69,69,69,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,			if (isWebhookResponse(response)) {
entry-00084,1,7,packages/cli/src/webhooks/webhook-request-handler.ts,70,70,70,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"				await this.sendWebhookResponse(res, response);"
entry-00084,1,8,packages/cli/src/webhooks/webhook-request-handler.ts,112,112,112,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,		if (isWebhookStaticResponse(webhookResponse)) {
entry-00084,1,9,packages/cli/src/webhooks/webhook-request-handler.ts,148,148,148,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,			const needsSandbox = !contentType || isHtmlRenderedContentType(contentType);
entry-00084,1,10,packages/cli/src/webhooks/webhook-request-handler.ts,149,149,149,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,			const bodyToSend = needsSandbox ? sandboxHtmlResponse(body) : body;
entry-00084,1,11,packages/cli/src/webhooks/webhook-request-handler.ts,150,150,150,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,			res.send(bodyToSend);
entry-00085,1,0,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,411,411,411,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"				const responseBodyParameter = this.getNodeParameter('responseBody', 0) as string;"
entry-00085,1,1,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,405,405,405,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,			const hasHtmlContentType =
entry-00085,1,2,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,568,568,568,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,				hasHtmlContentType &&
entry-00085,1,3,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,573,573,573,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,				responseBody = sandboxHtmlResponse(JSON.stringify(responseBody as string));
entry-00085,1,4,packages/cli/src/webhooks/webhook-request-handler.ts,152,152,152,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,			const needsSandbox = contentType && isHtmlRenderedContentType(contentType);
entry-00085,1,5,packages/cli/src/webhooks/webhook-request-handler.ts,154,154,154,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,				res.send(sandboxHtmlResponse(body));
entry-00086,1,0,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,491,491,491,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,if (shouldStream) {
entry-00086,1,1,packages/nodes-base/nodes/RespondToWebhook/RespondToWebhook.node.ts,493,493,493,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,"this.sendChunk('item', 0, rawBody);"
entry-00086,1,2,packages/cli/src/webhooks/webhook-request-handler.ts,130,130,130,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,const needsSandbox = contentType && isHtmlRenderedContentType(contentType);
entry-00086,1,3,packages/cli/src/webhooks/webhook-request-handler.ts,132,132,132,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,const streamToSend = needsSandbox ? stream.pipe(createHtmlSandboxTransformStream()) : stream;
entry-00086,1,4,packages/core/src/html-sandbox.ts,110,110,110,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"const prefix = Buffer.from('<iframe srcdoc=""', 'utf8');"
entry-00086,1,5,packages/core/src/html-sandbox.ts,111,111,111,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,const suffix = Buffer.from(
entry-00086,1,6,packages/cli/src/webhooks/webhook-request-handler.ts,133,133,133,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"streamToSend.pipe(res, { end: false });"
entry-00087,1,0,packages/cli/src/webhooks/webhook-helpers.ts,356,356,356,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,export async function executeWebhook(
entry-00087,1,1,packages/cli/src/webhooks/webhook-helpers.ts,440,440,440,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,"		await parseRequestBody(req, workflowStartNode, workflow, executionMode, additionalKeys);"
entry-00087,1,2,packages/cli/src/webhooks/webhook-helpers.ts,860,860,860,no,none,n/a,entry_file,strictly_after,strictly_after,n/a,	const { contentType } = req;
entry-00087,1,3,packages/nodes-base/nodes/Form/utils/utils.ts,616,616,616,no,after_critical,clear,critical_file,strictly_after,n/a,strictly_after,"	const returnItem = await prepareFormReturnItem(context, formFields, mode, useWorkflowTimezone);"
entry-00087,1,4,packages/nodes-base/nodes/Form/utils/utils.ts,355,355,355,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,	const bodyData = (context.getBodyData().data as IDataObject) ?? {};
entry-00087,1,5,packages/nodes-base/nodes/Form/utils/utils.ts,365,365,365,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,	for (const key of Object.keys(files)) {
