entry_id,verify,trace_index,issue_type,description
entry-00115,1,1,duplicate_desc_conflict,trace[1] 与 trace[0] 重复但 desc 不一致; first='Client A 首次调用 connect()，将 Client A 专属的 transport 实例正确写入 this._transport；此时绑定关系有效，但函数未标记已连接状态，无法阻止后续并发调用再次执行同一赋值路径。' vs current='随后，Client B 调用同一 Protocol 实例的 connect()；由于缺少已连接守卫，this._transport 被赋值为 Client B 的 transport，静默覆盖先前 Client A 建立的绑定；自此，实例内所有出站消息均将错误地流向 Client B 的通道。'
entry-00116,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00116,1,10,ambiguous_after_critical,"trace[10] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00118,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00118,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00119,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00119,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00122,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00122,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00123,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00123,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00124,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00124,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00137,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00137,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00140,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00140,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00141,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00141,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00142,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00143,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00143,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00145,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00145,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00146,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00146,1,12,ambiguous_after_critical,"trace[12] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00147,1,1,ambiguous_before_entry,"trace[1] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00147,1,8,ambiguous_after_critical,"trace[8] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00149,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00149,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00149,1,3,ambiguous_before_entry,"trace[3] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00149,1,4,ambiguous_before_entry,"trace[4] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00149,1,5,ambiguous_before_entry,"trace[5] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00149,1,6,ambiguous_before_entry,"trace[6] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00149,1,7,ambiguous_before_entry,"trace[7] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00158,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00158,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00163,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00163,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00168,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00168,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00169,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00169,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00170,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00170,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00171,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00171,1,8,ambiguous_after_critical,"trace[8] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00172,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00172,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00172,1,7,ambiguous_before_entry,"trace[7] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00173,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00173,1,5,ambiguous_before_entry,"trace[5] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00174,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00174,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00175,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00175,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00176,0,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00176,0,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00178,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00178,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00182,1,1,duplicate_desc_conflict,trace[1] 与 trace[0] 重复但 desc 不一致; first='调用链第一步（模块加载阶段）：Python 解释器首次导入 constants.py 时，L126 的赋值语句将 BLOCKED_ATTRIBUTES 字面量集合写入运行时内存。此时集合遗漏的条目已不可更改，__objclass__ 自静态定义阶段便不在其中，后续全部属性拦截检查均以该残缺集合为唯一依据。' vs current='调用链第二步（运行时属性检查阶段）：沙箱拦截属性访问时对 BLOCKED_ATTRIBUTES 执行成员查询。当攻击者请求访问 __objclass__ 时，查询在已固化集合中找不到对应条目，检查结果为 False，属性访问被直接放行，为后续获取底层类引用打开通道。'
entry-00182,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00182,1,1,ambiguous_after_critical,"trace[1] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00182,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00184,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00184,1,4,ambiguous_before_entry,"trace[4] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00185,0,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00185,0,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00186,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00186,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00187,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00187,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00189,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00189,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00190,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00190,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00192,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00194,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00194,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00199,1,2,duplicate_desc_conflict,trace[2] 与 trace[0] 重复但 desc 不一致; first='agentCommand 是漏洞利用链的起点，write-scope 调用者发起的 agent 请求在此进入异步执行路径。该调用不携带任何鉴权上下文，使得整条执行链从起始位置就已缺失必要的调用者身份信息。' vs current='此处的 agentCommand 调用即是 WRITE_SCOPE 所覆盖的 agent 方法处理器的实际执行位置，印证了上一步权限配置的作用范围。调用以 void 触发后执行线程脱离原始请求上下文，调用者身份信息不再可追溯，漏洞利用路径由此向后续环节持续延伸。'
entry-00199,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00199,1,2,ambiguous_before_entry,"trace[2] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00199,1,8,ambiguous_after_critical,"trace[8] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00200,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00200,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00201,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00201,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00202,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00202,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00207,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00208,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00208,1,11,ambiguous_after_critical,"trace[11] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00210,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00210,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00211,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00211,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00213,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00213,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00214,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00214,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00215,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00215,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00216,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00217,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00219,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00219,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00220,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00220,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00221,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00221,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00223,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00223,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00224,1,6,duplicate_desc_conflict,trace[6] 与 trace[2] 重复但 desc 不一致; first='在调用栈下游，isProtectedPluginRoutePath 将 pathname 与受保护前缀集合 prefixes 同时传递给 isPathProtectedByPrefixes，完成安全模块内第二层 caller→callee 跳转。isPathProtectedByPrefixes 随即调用规范化函数产生候选集，再对所有候选执行前缀匹配；此处是深度编码路径进入实际规范化管道的入口边界，候选集合是否完整取决于此后的解码深度上限。' vs current='随着解码循环终止，流程沿 callee→caller 方向回到 isPathProtectedByPrefixes；该函数以不完整的候选集合与前缀列表逐一执行前缀匹配，因候选中不存在充分还原的受保护路径形式，所有比对均不命中，函数向调用者 isProtectedPluginRoutePath 返回 false。此负向返回值继续沿调用栈上传，最终抵达鉴权决策点。'
entry-00225,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00225,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00226,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00226,1,1,ambiguous_before_entry,"trace[1] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00226,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00226,1,3,ambiguous_before_entry,"trace[3] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00226,1,4,ambiguous_before_entry,"trace[4] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00226,1,5,ambiguous_before_entry,"trace[5] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00226,1,6,ambiguous_before_entry,"trace[6] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00228,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00228,1,2,ambiguous_after_critical,"trace[2] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00231,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
